code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,module_presentation_length,total_assessments_submitted,average_score,total_weighted_score,total_clicks,unique_days_active
aaa,2013j,11391,m,east anglian region,he qualification,90-100%,55<=,0,240,n,pass,-159,268,268,5,82.0,82.4,934,40
aaa,2013j,28400,f,scotland,he qualification,20-30%,35-55,0,60,n,pass,-53,268,268,5,66.4,65.4,1435,80
aaa,2013j,30268,f,north western region,a level or equivalent,30-40%,35-55,0,60,y,withdrawn,-92,12,268,0,0.0,0.0,281,12
aaa,2013j,31604,f,south east region,a level or equivalent,50-60%,35-55,0,60,n,pass,-52,268,268,5,76.0,76.3,2158,123
aaa,2013j,32885,f,west midlands region,lower than a level,50-60%,0-35,0,60,n,pass,-176,268,268,5,54.4,55.0,1034,70
aaa,2013j,38053,m,wales,a level or equivalent,80-90%,35-55,0,60,n,pass,-110,268,268,5,68.0,66.9,2445,143
aaa,2013j,45462,m,scotland,he qualification,30-40%,0-35,0,60,n,pass,-67,268,268,5,68.0,67.8,1492,90
aaa,2013j,45642,f,north western region,a level or equivalent,90-100%,0-35,0,120,n,pass,-29,268,268,5,72.4,72.5,1428,105
aaa,2013j,52130,f,east anglian region,a level or equivalent,70-80%,0-35,0,90,n,pass,-33,268,268,5,71.4,71.2,1894,122
aaa,2013j,53025,m,north region,post graduate qualification,20-30%,55<=,0,60,n,pass,-179,268,268,5,78.0,79.0,3158,142
aaa,2013j,57506,m,south region,lower than a level,70-80%,35-55,0,60,n,pass,-103,268,268,5,74.0,74.0,1319,90
aaa,2013j,58873,f,east anglian region,a level or equivalent,20-30%,0-35,0,60,n,pass,-47,268,268,5,73.2,73.7,1732,120
aaa,2013j,59185,m,east anglian region,lower than a level,60-70%,35-55,0,60,n,pass,-59,268,268,5,78.6,80.8,1102,61
aaa,2013j,62155,f,north western region,he qualification,50-60%,0-35,0,60,n,pass,-68,268,268,5,76.0,76.4,3388,148
aaa,2013j,63400,m,scotland,lower than a level,40-50%,35-55,0,60,n,pass,-67,268,268,5,71.6,71.2,2737,175
aaa,2013j,65002,f,east anglian region,a level or equivalent,70-80%,0-35,0,60,n,withdrawn,-180,96,268,2,67.0,20.2,171,11
aaa,2013j,70464,f,west midlands region,a level or equivalent,60-70%,35-55,0,60,n,pass,-95,268,268,5,55.6,53.5,1053,46
aaa,2013j,71361,m,ireland,he qualification,20-30%,35-55,0,60,n,pass,-130,268,268,5,80.4,79.69999999999999,2327,135
aaa,2013j,74372,m,east anglian region,a level or equivalent,10-20%,35-55,0,150,n,fail,-50,268,268,4,48.5,32.8,116,14
aaa,2013j,75091,m,south west region,a level or equivalent,30-40%,35-55,0,60,n,pass,-107,268,268,5,66.0,65.8,2992,122
aaa,2013j,77367,m,east midlands region,a level or equivalent,30-40%,0-35,0,60,n,pass,-27,268,268,5,70.4,69.5,680,86
aaa,2013j,91265,m,north western region,he qualification,0-10%,0-35,0,60,n,pass,-31,268,268,5,70.8,69.0,1494,125
aaa,2013j,94961,m,south region,lower than a level,70-80%,35-55,0,60,n,withdrawn,-170,72,268,1,74.0,7.4,339,24
aaa,2013j,98094,m,wales,lower than a level,70-80%,35-55,0,60,n,pass,-107,268,268,5,60.6,60.6,2839,91
aaa,2013j,100893,m,yorkshire region,a level or equivalent,20-30%,0-35,0,60,n,pass,-62,268,268,5,68.4,68.7,744,52
aaa,2013j,101781,m,south region,lower than a level,80-90%,35-55,0,60,n,pass,-103,268,268,5,72.6,71.6,4104,144
aaa,2013j,102806,m,north western region,a level or equivalent,30-40%,0-35,0,60,n,pass,-107,268,268,5,78.0,76.0,1944,177
aaa,2013j,102952,m,london region,he qualification,60-70%,0-35,0,60,n,pass,-100,268,268,5,76.6,77.1,1150,58
aaa,2013j,104476,m,ireland,post graduate qualification,20-30%,35-55,0,60,n,pass,-109,268,268,5,79.6,78.9,4777,161
aaa,2013j,106247,m,south region,he qualification,80-90%,35-55,0,60,n,withdrawn,5,175,268,3,60.0,29.3,465,33
aaa,2013j,106577,m,east midlands region,lower than a level,20-30%,0-35,0,60,n,pass,-107,268,268,5,53.4,54.2,733,47
aaa,2013j,110175,m,east anglian region,he qualification,80-90%,35-55,0,60,n,pass,-110,268,268,5,63.4,63.7,998,70
aaa,2013j,111717,f,east anglian region,he qualification,90-100%,35-55,0,60,n,pass,-43,268,268,3,81.0,48.9,2343,136
aaa,2013j,113295,m,yorkshire region,lower than a level,60-70%,35-55,0,60,n,pass,-26,268,268,5,77.6,77.3,3553,195
aaa,2013j,114017,f,north region,post graduate qualification,20-30%,35-55,0,60,n,pass,-29,268,268,5,71.8,72.3,757,50
aaa,2013j,114999,m,yorkshire region,he qualification,60-70%,35-55,0,60,n,pass,-68,268,268,5,72.8,70.8,1358,120
aaa,2013j,116541,m,wales,he qualification,0-10%,0-35,0,60,n,pass,-68,268,268,5,62.4,59.8,1886,108
aaa,2013j,116692,m,east anglian region,a level or equivalent,70-80%,35-55,0,60,n,pass,-32,268,268,5,74.2,74.2,1108,98
aaa,2013j,118983,m,east midlands region,he qualification,30-40%,0-35,0,120,n,pass,-99,268,268,5,61.8,59.0,284,27
aaa,2013j,123044,m,south region,a level or equivalent,40-50%,35-55,0,60,n,pass,-82,268,268,5,71.4,70.7,2041,127
aaa,2013j,127582,f,east midlands region,a level or equivalent,40-50%,0-35,0,180,n,pass,-31,268,268,5,69.6,69.4,1321,89
aaa,2013j,129955,m,west midlands region,a level or equivalent,50-60%,0-35,0,60,n,withdrawn,-197,135,268,3,81.0,40.1,1011,83
aaa,2013j,132976,f,east anglian region,lower than a level,80-90%,35-55,0,120,n,pass,-75,268,268,5,67.4,67.30000000000001,520,32
aaa,2013j,134143,f,south east region,a level or equivalent,90-100%,35-55,0,60,n,distinction,-96,268,268,5,84.4,83.8,2732,138
aaa,2013j,135335,f,east anglian region,lower than a level,20-30%,0-35,0,180,n,withdrawn,-29,30,268,0,0.0,0.0,57,10
aaa,2013j,135400,f,south east region,lower than a level,90-100%,35-55,0,60,y,withdrawn,-32,144,268,2,61.5,17.4,287,24
aaa,2013j,137873,m,south west region,a level or equivalent,40-50%,35-55,0,60,n,pass,-195,268,268,5,80.2,81.7,5528,192
aaa,2013j,141355,f,east midlands region,a level or equivalent,30-40%,0-35,0,240,n,pass,-61,268,268,5,72.6,72.0,1823,92
